title,href,context
Re: [問卦] 鄉民有被女性性騷擾的經驗嗎？,https://www.ptt.cc/bbs/Gossiping/M.1619354018.A.96F.html,"大家嚎，

我有一次搭捷運啦，
結果後面有個女森，
胸部一直頂我手肘，
我原本想說，
對方應該是不小心的。

我就把手往內縮一點，
結果她還一直頂，
頂到我都要受不了了，
只好換個地方站。


如果妳是當時那個女森，
希望妳可以跟我道歉。
嘻嘻。


※ 引述《jason748 (賽迪克.進萊)》之銘言
: 有次跟正妹人妻同事聊天，她說：「我都會回家前就趕快在外面吃晚餐，因為回家後
我
: 女兒會一直纏著我，根本沒時間吃飯」然後一邊伸手拉拉肥宅我的襯衫衣角說「就是
像
: 這樣子一直喊馬麻陪我」
: 我心想要是性別顛倒過來，肥宅我絕對隔天就被叫去性平會拉正，只能說正妹還是有
特
: 權啊。有鄉民有被女性性騷的經驗嗎？
: "
[問卦] 這樣我可以告性騷擾嗎？,https://www.ptt.cc/bbs/Gossiping/M.1619156802.A.201.html,"
阿肥我剛剛去廁所 方便
到一半才發現有生物在旁偷窺
藏都不藏著耶

阿肥我覺得不舒服 很害怕QQ

http://i.imgur.com/lPSXogQ.jpg

"
[問卦] 誇讚表妹的制服很好看算是性騷擾嗎??,https://www.ptt.cc/bbs/Gossiping/M.1619098914.A.F79.html,"之前去桃園參加遠房大表姐的婚宴，
在阿姨家等待時碰巧遇到剛放學回家的表妹，
我看到表妹居然穿著高中制服來開門時我不禁誇讚一番，
表妹表情略顯尷尬說：「謝謝」。

我想請問大家，
我會被表妹告性騷擾嗎??
我這樣誇讚表妹會違反跟蹤騷擾法嗎??

有沒有八卦呢??

"
[問卦] 大家覺得職場性騷擾防治有用嗎,https://www.ptt.cc/bbs/Gossiping/M.1619098571.A.C96.html,"最近工作太累常常亂作夢，竟然夢到我到前陣子新聞很大的外商銀行上班，我的直屬主管
是個女生，跟她比較要好的都是GAY（抱歉這裡沒有仇視意味，只是根據她的個人自述）。
同team的學長是個非常外顯的GAY，就先用J代稱好了，J雖然看起來胖胖的，但其實練很
壯，只要問他問題或是工作上需要他協助，一定會被他摸個手，然後問我要怎麼報答他
（搭配嘟嘴表情）。

有一次請J幫忙處理夜班的事，他依照慣例希望我「報答」他，以往都是打哈哈帶過，這次
想說真的麻煩到他，就答應去他家作客，沒想到這是惡夢的開始！

一到他家，就說浴室有死蟑螂他不敢抓，要我幫忙，我處理好之後，他就邀請我去參觀他
的收藏，J的租屋處有很多杯緣子，他好像也很自豪這些收藏，還秀在IG上。接下來又說要
一起玩switch，我跟他說：「時間差不多了，下班很累我也要回家了。」他就說那我們來
床上，接著就把我拉上床壓在我身上磨蹭，我說：「欸！不要這樣喔。」他一直說沒關係
、沒什麼啦這種無視我的話，後來還直接露出生殖器。當下覺得好噁，沒想到杰哥不要的
慘案竟然發生在我身上，最後也忘了怎麼結束，反正在堅持之下我還是回家了。

回家路上還是覺得很噁，也很不舒服，明明不論男女的身體我都很尊重，支持同性婚姻，
也有很多GAY朋友，卻遇到這種不尊重別人身體的人，完全是壞了一鍋粥的老鼠屎，真的
讓我覺得很傻眼。

沒想到夢到這裡還沒結束，還有夢中夢。J跟我說他之前曾在部門聚餐後，被C指派送另一
個喝醉學長回家，J在學長不知情的情況下幫他口交，我是不確定這件事的真實性，當然也
不敢問那個學長有沒有這件事，也不敢想像他知道以後會有什麼後果><

之後上班，直屬女主管其實都有看到J對我毛手毛腳，但也都只是笑笑的，完全沒有要制
止，因此我認為J敢這麼猖狂是跟女主管的縱容也有關係，而且這間公司還常常在茶水間
公司信箱倡導防治性騷擾的重要，真的有夠諷刺。

夢醒之後我開始在想，如果我很需要這份工作，遇到杰哥還有放縱杰哥的主管，我真的敢
往上申訴嗎？



"
[問卦] 宅宅為啥要持續性騷擾女生?,https://www.ptt.cc/bbs/Gossiping/M.1619092658.A.000.html,"跟女生聊天女生只回

""喔喔"" ""恩恩"" ""哈哈""

就已經是強烈暗示不喜歡你了

學妹聊到最後都說

""要去洗澡了""

這一洗就是好幾年 沒回來過

宅宅還是繼續騷擾女生

法條出來才在7pupu

怕自己會被告

沒戲了就換下一個阿

一直亂小女生幹嘛

有掛嘛

"
[新聞] 懲戒法院未認定丁允恭性騷擾 監委提上訴,https://www.ptt.cc/bbs/Gossiping/M.1619069577.A.A02.html,"自由電子報

記者謝君臨

懲戒法院未認定丁允恭性騷擾 監委提上訴

總統府前發言人丁允恭擔任高雄市政府新聞局長期間，與女記者在辦公室發生性行為，懲
戒法院重判丁撤職、停止任用公務員兩年，但未認定性騷擾成立。提案彈劾的監委紀惠容
昨表示，已於十六日提起上訴，將再補上專家學者的法理論述意見書。

紀惠容指出，本案是未經同意的曝光，造成痛苦的不是性本身，而是不平等的性別權力，
以及不平等所促成的、對女性的暴力。

對於紀逕自提起上訴，監院內部人士批評「破壞體制」，指這是個別監委的行為，未經司
法及獄政委員會討論，不能代表監院決議，另一位調查監委王美玉也沒同意要具名上訴。
對此，紀惠容昨未接電話，無法得知其回應。

https://reurl.cc/pm08pe

你情我願的怎會是性騷擾？ 這也要上訴

"
[問卦] 新的性騷擾法成立囉 這樣能告誰,https://www.ptt.cc/bbs/Gossiping/M.1619068015.A.E24.html,"
耶耶耶 之前某位噁心的藝人

記者會公然拿情趣用品出來噁心大家

在油管都找的到

請問一下各位法匠

我這樣可以告那個噁心的雞排人嗎

"
[問卦] 台女動不動就覺得台男性騷擾很合理吧,https://www.ptt.cc/bbs/Gossiping/M.1618922983.A.C89.html,"剛剛看了一個宅男尻槍在妹子內衣褲上

接著還有一串台男排隊等著聞內衣褲的新聞

台女一天到晚覺得台男性騷擾真的沒道理

走在路上要小心偷拍狂

有的還會躲在車下

搭公車則動不動有噁男用外套蓋懶叫尻槍

曬內衣褲還要小心台男路過就會聞跟摸

離開位置一下

水瓶可能就會加料

無時無刻都有不同的驚喜

難怪女生看到一杯水就覺得要被強姦

幹他媽的

那杯水搞不好來真的有精液


"
Re: [新聞] 曾涉性騷擾請辭 柯P前市政顧問劉嘉仁短短,https://www.ptt.cc/bbs/Gossiping/M.1618826497.A.BE4.html,"這新聞怎可以讓他沉下去哩

我想看到 血流成河!

最好跟 丁允恭、藍恭維、王定宇依樣

媒體把所有人證物證全都挖出來!

不過話說，2019年到現在都2年了

到底媒體是挖出東西了沒?

還在傳聞?

2019傳聞到現在喔?

有沒有噬血媒體受到壓力? 還是不積極作為的八卦?

※ 引述《Master5566 (5566大師)》之銘言：
: 曾涉性騷擾請辭 柯P前市政顧問劉嘉仁短短1年又升遷
: 自由時報
: 〔記者楊心慧／台北報導〕台北市政府傳出2019年捲入性騷擾
: 的前市政顧問劉嘉仁，離開市府後回鍋台北市聯合醫院，原本
: 降調為聯醫總院長黃勝堅的祕書，才過1年又官復原職回升黃
: 勝堅的特助，據傳年薪非常好，引起其他人不滿。
: 劉嘉仁過去被爆騷擾知名度高的市府幕僚，傳出她多次收到男
: 方的訊息騷擾，甚至要她單獨到辦公室談話，最後市府展開
: 調查，劉嘉仁也離開市府，回到聯合醫院任職。
: 記者多次致電劉嘉仁、黃勝堅皆未接電話，至上稿前都未聯絡上。
: 台北市政府發言人陳智菡表示，該人事屬正常調動。
: https://news.ltn.com.tw/news/politics/breakingnews/3501789
: 沒事沒事
: 不是騷擾只是追求 超追超級追求 超追而已啦
: 非騷擾大家不要誤會
: 該人事屬正常調動
: 大家可以放心了
: 讓我們繼續關心______
: "
[問卦] 搭扶梯前面妹子穿裙子直接看算性騷擾嗎,https://www.ptt.cc/bbs/Gossiping/M.1618673683.A.323.html,"如題

搭手扶梯

前面妹子穿裙子

不低頭彎腰

然後站在後面正常目視看

這樣算性騷擾嗎

有卦？

"
[新聞] 黑龍江女公務員不堪上司性騷擾，用拖把毆打回擊,https://www.ptt.cc/bbs/Gossiping/M.1618471664.A.9AF.html,"1.媒體來源:
紐約時報中文網

2.記者署名:
TIFFANY MAY

3.完整新聞標題:
黑龍江女公務員不堪上司性騷擾，用拖把毆打回擊

4.完整新聞內文:

影片中，中國東北部的一名政府工作人員指責領導給她發送騷擾短訊，用拖把拖地的一頭打
他。影片引發了人們對工作場所性騷擾持續存在的討論，也令這名女子成為網路轟動人物。
在14分鐘的影片中，這名周姓女子衝著她的領導王某的臉扔書，對著他的頭澆了一盆水，並
用拖把打他。他用手遮住臉，試圖道歉，說他在發信息時是在開玩笑。
目前尚不清楚該事件發生的確切時間，但據當地新聞媒體稱，該女子上週向警方報案，指控
她的領導對她實施性騷擾，影片於本週開始在網路上廣泛傳播。該影片已被觀看上百萬次，
許多社群媒體用戶很高興看到對權威人物的反抗，這在一個對工作場所性騷擾保護措施有限
的國家並不常見。許多用戶支持該女子，稱讚她打破權力平衡，是正義的捍衛者和武術大俠
。

中國著名女權主義活動人士呂頻說，由於普遍缺乏對騷擾者的責任追究，也得不到法院或警
察的幫助，許多人將這段影片視為泄憤出口。許多性騷擾受害者感到無力舉報，擔心如果舉
報，她們不會被相信，或者會遭到報復。
「大多數時候女性都是被迫沉默，因為職場性騷擾還很難被追究。因此這個女性採取私力救
濟，她的行動受到這麼多關注恰恰反映出，除此之外沒有其他更好的辦法，」呂頻在週二的
採訪中說。
中國官方新聞媒體確認該男子為黑龍江省綏化市北林區政府扶貧機構的副主任。據官方通訊
社新華社報導，在進行內部調查發現他有「生活紀律問題」後，根據共產黨的紀律，他被撤
銷黨內職務。這位女工作人員沒有受到紀律處分，官員們說她患有未指明的「精神類疾病」
。進一步細節尚未得到透露。我們尚未聯繫到該男子及該女子就此事置評。
中國於2005年出台了一項法律，禁止性騷擾，並賦予受害者投訴僱主的權力。近年來，一系
列法規出台，規定僱主有責任「預防和遏制」性騷擾。然而，耶魯大學法學院蔡中曾中國中
心(Yale Law School\'s Paul Tsai China Center)高級研究員龍大瑞(Darius Longarino)
說，很少有工作場所對此採取強有力的執行措施。
「針對性騷擾者提起的訴訟很少，勝訴的更少，」龍大瑞在接受採訪時說。「如果案件最終
只能依靠目擊證人舉證，法院通常會裁定沒有足夠的證據證明發生了性騷擾。」
性騷擾受害者本人甚至也會成為訴訟對象。2019年，中國城市成都一名女性報警稱遭到同事
的騷擾後，該同事提起訴訟。儘管訴訟在很大程度上被駁回，但該女性還是被判令在一個工
作群裡進行由法院審核過的道歉，以消除對同事的「不利影響」。

在那段拖把的影片中，周女士說，王某三度發送了令人厭惡的短訊，並且辦公室中的其他人
也受到了令人反感的類似關注。影片中可以看到並聽到她打電話指責她的領導進行性騷擾。
在電話中，她說她已經報警。根據當地新聞媒體報導，警方說，他們上週對她的報案做了登
記，並已介入調查。綏化市和北林區的政府機關以及北林區警方均未回應置評請求。
活動人士呼籲，針對此類情況，司法系統應提供更多保護。
「那更多沒有引起輿論關注的受害者，又能如何得到支持？這些問題只是被提出來了，並沒
有答案，」呂頻說。
龍大瑞說，周女士錄下她的領導承認性騷擾的影片，對她的案件很有助益。
他說，在許多情況下，「沒有這樣廣泛傳播的影片。」

5.完整新聞連結 (或短網址):
https://cn.nytimes.com/china/20210415/china-sexual-harassment-mop/zh-hant/

6.備註:

"
